Ware_house_ID,kmeans_segment,ward_segment
WH_102596,3,2
WH_102598,1,1
WH_102611,4,4
WH_102613,3,1
WH_102619,3,4
WH_102620,1,1
WH_102621,4,3
WH_102623,3,4
WH_102627,3,3
WH_102631,4,2
WH_102645,1,4
WH_102649,1,1
WH_102659,4,4
WH_102663,4,4
WH_102665,1,1
WH_102668,4,4
WH_102670,4,4
WH_102671,3,1
WH_102673,2,1
WH_102674,1,1
WH_102675,1,4
WH_102688,4,2
WH_102696,3,4
WH_102698,4,4
WH_102703,3,3
WH_102705,3,4
WH_102715,1,1
WH_102720,4,3
WH_102722,4,4
WH_102725,2,2
WH_102728,1,1
WH_102732,1,1
WH_102750,4,3
WH_102752,3,3
WH_102763,3,3
WH_102766,1,1
WH_102767,1,1
WH_102770,3,3
WH_102772,1,1
WH_102773,1,1
WH_102781,3,2
WH_102789,1,1
WH_102790,2,2
WH_102793,4,4
WH_102803,4,4
WH_102807,4,4
WH_102813,4,3
WH_102817,4,3
WH_102818,3,3
WH_102820,1,4
WH_102826,1,1
WH_102829,1,1
WH_102830,3,4
WH_102831,4,4
WH_102838,4,3
WH_102840,3,2
WH_102845,3,4
WH_102848,4,3
WH_102850,4,4
WH_102851,3,3
WH_102852,1,4
WH_102853,3,3
WH_102856,2,2
WH_102857,4,4
WH_102861,2,2
WH_102863,1,4
WH_102881,1,1
WH_102889,4,4
WH_102892,4,3
WH_102895,1,2
WH_102899,4,3
WH_102902,1,1
WH_102903,2,2
WH_102916,3,1
WH_102919,2,2
WH_102924,4,4
WH_102929,4,4
WH_102932,3,3
WH_102941,3,1
WH_102943,1,1
WH_102944,2,2
WH_102949,2,2
WH_102950,4,3
WH_102952,4,4
WH_102953,4,4
WH_102955,3,1
WH_102961,3,3
WH_102965,3,3
WH_102978,2,2
WH_102984,4,4
WH_102989,4,3
WH_103001,3,3
WH_103003,4,3
WH_103004,3,4
WH_103009,3,1
WH_103011,4,4
WH_103012,4,3
WH_103014,4,4
WH_103021,1,2
WH_103027,2,2
WH_103029,2,2
WH_103036,1,1
WH_103042,2,2
WH_103044,4,4
WH_103051,1,1
WH_103064,2,2
WH_103066,4,4
WH_103079,1,1
WH_103082,1,1
WH_103084,2,2
WH_103087,3,3
WH_103096,4,3
WH_103100,4,3
WH_103106,1,1
WH_103118,2,1
WH_103120,2,2
WH_103126,1,1
WH_103127,1,1
WH_103129,4,4
WH_103131,3,1
WH_103132,2,1
WH_103144,4,4
WH_103146,1,4
WH_103149,4,4
WH_103152,3,2
WH_103158,1,4
WH_103169,1,1
WH_103170,3,1
WH_103177,3,1
WH_103179,3,3
WH_103184,3,1
WH_103188,1,1
WH_103195,2,2
WH_103199,2,2
WH_103201,1,1
WH_103205,4,4
WH_103206,2,2
WH_103209,4,4
WH_103219,4,3
WH_103225,4,2
WH_103227,1,1
WH_103228,1,3
WH_103233,4,4
WH_103241,1,1
WH_103243,4,1
WH_103254,3,3
WH_103256,3,4
WH_103258,2,2
WH_103259,4,3
WH_103260,3,3
WH_103262,4,4
WH_103270,4,4
WH_103273,3,1
WH_103288,1,1
WH_103290,4,4
WH_103301,2,2
WH_103309,3,3
WH_103322,4,4
WH_103329,1,1
WH_103331,1,1
WH_103344,4,4
WH_103351,2,2
WH_103355,1,1
WH_103358,2,2
WH_103366,4,1
WH_103367,1,1
WH_103373,4,4
WH_103375,1,1
WH_103376,3,3
WH_103379,4,4
WH_103381,1,1
WH_103390,1,1
WH_103392,2,2
WH_103398,1,1
WH_103411,3,3
WH_103416,2,2
WH_103424,4,4
WH_103435,3,1
WH_103436,4,4
WH_103445,4,4
WH_103455,1,1
WH_103457,3,1
WH_103461,4,4
WH_103462,3,4
WH_103463,2,2
WH_103464,3,2
WH_103471,1,1
WH_103472,1,1
WH_103473,1,1
WH_103475,4,3
WH_103476,4,4
WH_103477,2,1
WH_103482,2,2
WH_103483,1,1
WH_103484,1,1
WH_103487,4,3
WH_103502,1,1
WH_103511,4,2
WH_103516,3,1
WH_103517,2,2
WH_103522,1,1
WH_103529,1,1
WH_103535,4,4
WH_103539,3,1
WH_103541,1,1
WH_103546,2,2
WH_103547,4,4
WH_103551,2,1
WH_103553,4,4
WH_103559,4,2
WH_103563,3,3
WH_103568,1,4
WH_103569,3,3
WH_103572,4,3
WH_103586,2,2
WH_103601,1,1
WH_103608,1,1
WH_103613,4,3
WH_103615,4,3
WH_103616,4,4
WH_103628,3,1
WH_103632,3,1
WH_103643,1,4
WH_103645,2,2
WH_103647,4,4
WH_103651,2,2
WH_103652,2,2
WH_103660,4,4
WH_103668,3,1
WH_103674,1,1
WH_103678,3,3
WH_103680,1,1
WH_103687,2,2
WH_103696,4,2
WH_103697,1,2
WH_103700,3,1
WH_103703,4,3
WH_103707,4,2
WH_103708,3,3
WH_103714,2,2
WH_103722,2,2
WH_103724,4,4
WH_103727,1,1
WH_103731,3,1
WH_103733,3,3
WH_103735,3,1
WH_103740,2,2
WH_103744,4,4
WH_103746,4,4
WH_103750,1,4
WH_103752,1,2
WH_103756,4,4
WH_103764,2,2
WH_103766,2,2
WH_103767,1,1
WH_103774,2,2
WH_103781,1,1
WH_103789,1,2
WH_103791,4,2
WH_103793,4,4
WH_103794,4,4
WH_103797,2,2
WH_103799,4,4
WH_103800,1,4
WH_103804,2,2
WH_103805,4,4
WH_103806,3,1
WH_103808,3,1
WH_103810,4,3
WH_103811,1,4
WH_103812,4,3
WH_103818,4,4
WH_103819,1,1
WH_103820,1,3
WH_103826,3,4
WH_103827,1,1
WH_103830,4,2
WH_103837,3,3
WH_103841,4,4
WH_103847,2,2
WH_103851,4,1
WH_103855,4,3
WH_103856,3,3
WH_103867,2,2
WH_103890,4,4
WH_103905,3,3
WH_103922,3,3
WH_103923,1,1
WH_103932,3,2
WH_103935,4,3
WH_103938,4,4
WH_103943,1,1
WH_103946,1,1
WH_103948,2,1
WH_103949,4,3
WH_103956,4,3
WH_103958,4,3
WH_103969,3,1
WH_103970,4,4
WH_103974,3,4
WH_103975,4,4
WH_103991,1,1
WH_103993,3,3
WH_103994,1,1
WH_103997,2,2
WH_103999,4,4
WH_104001,1,1
WH_104004,1,1
WH_104010,1,1
WH_104013,2,2
WH_104016,3,4
WH_104020,4,3
WH_104024,2,2
WH_104028,2,2
WH_104037,4,4
WH_104038,1,4
WH_104039,4,2
WH_104040,3,3
WH_104041,4,4
WH_104043,4,3
WH_104050,4,3
WH_104051,4,2
WH_104063,3,3
WH_104064,1,1
WH_104067,1,4
WH_104071,2,2
WH_104077,1,1
WH_104094,4,4
WH_104105,1,1
WH_104111,1,1
WH_104119,4,3
WH_104120,4,3
WH_104125,3,3
WH_104128,1,2
WH_104133,3,1
WH_104134,4,3
WH_104137,4,3
WH_104142,1,4
WH_104143,3,3
WH_104146,3,3
WH_104154,4,4
WH_104156,4,3
WH_104158,3,3
WH_104161,1,1
WH_104166,4,4
WH_104170,3,3
WH_104174,1,1
WH_104180,4,4
WH_104193,3,3
WH_104194,1,1
WH_104211,2,2
WH_104215,2,1
WH_104217,1,1
WH_104218,1,1
WH_104223,3,2
WH_104224,4,4
WH_104231,2,2
WH_104238,4,4
WH_104244,3,3
WH_104249,3,1
WH_104257,4,3
WH_104259,4,3
WH_104261,1,3
WH_104262,3,3
WH_104263,4,4
WH_104271,1,1
WH_104280,3,3
WH_104290,2,2
